model,file_path,domain,cer,wer,first_partial_latency_s,first_final_latency_s,finalization_latency_s,total_latency_s,audio_duration_s,rtf,num_partial_results,num_final_results,ref,hyp
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_105_d_78.wav,class_lecture,0.8333333333333334,1.0,,1.706,1.266,1.991,0.725,2.7459,0,1,তো এখন,আকন?
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_105_d_58.wav,class_lecture,1.0555555555555556,1.0,,1.737,1.138,2.025,0.887,2.2832,0,1,আরো ইজিলি করা যায়,এটা আর easily college-
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_105_d_30.wav,class_lecture,0.4482758620689655,0.6666666666666666,,2.25,1.215,2.539,1.324,1.9174,0,1,বি মানে হচ্ছে বি ভেক্টরের মান,B মানে হচ্ছে B Factory-এর মান।
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_105_d_28.wav,class_lecture,0.2,0.375,,2.846,1.236,3.134,1.898,1.6513,0,1,আর এর সাথে এখানে লাগবে এ আর বি,আর এর সাথে এখানে লাগবে A and B?
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_101_d_5.wav,class_lecture,0.36363636363636365,0.5,3.235,3.243,1.521,3.53,2.009,1.7572,2,1,আমরা এখানে ভি কে ভ্যানিশ করেছিলাম,আমরা এখানে VQ vanish করেছিলাম।
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_105_d_49.wav,class_lecture,0.5161290322580645,0.6,,2.521,1.392,2.914,1.522,1.9147,0,1,এটাও ক্যালকুলেটরে বের হয়ে যাবে,Rate calculator এ বের হয়ে যাবে।
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_107_d_13.wav,class_lecture,0.42857142857142855,0.6153846153846154,3.169,4.772,1.456,5.095,3.639,1.4001,3,1,ইউ জানা আছে তাহলে  তুমি যদি এস ওয়ান ইউ এবং টি ওয়ান  বসাও,"U জানাবে সে। তাহলে তুমি যদি S1, U এবং T1 বসাও।"
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_108_d_33.wav,class_lecture,0.638095238095238,0.7894736842105263,3.122,6.149,1.521,6.452,4.931,1.3084,5,1,তোমরা এই ভিডিওর যে ডেসক্রিপশন ওখানে গেলে লিংক এবং প্রোমো কোড টা খুজে পাবে তাহলে মেয়াদ থাকা পর্যন্ত তোমরা,"তো ভাই, video যে description, ওখানে গেলে link এবং promo code টা খুঁজে পাবে। এটা মেয়াদ থাকা পর্যন্ত তোমরা আর কোন কিছু নিতে পারবে না।"
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_107_d_73.wav,class_lecture,0.221875,0.49230769230769234,3.047,23.279,2.351,23.579,21.228,1.1107,22,1,তাইলে আমি যদি এতটুকু গণনা করতে চাই দ্যাট ইজ এস ওয়ানের জন্য যদি ফরমুলা লিখি তাহলে ইউ আদিবেগ ভি শেষবেগ আবার আমি যদি এতটুকু গণনা করতে চাই এস টুর জন্য যে অংশটা সে সমবেগে চলে সে অংশের জন্য এটা আদিবেগ এটা শেষবেগ এবং এই ক্ষেত্রে আদি বেগের মান যা  শেষ বেগের মান ও তাই যেহেতু ত্বরণ ছিল শুন্য কাজেই পরবর্তী তোমরা যত গুলো অঙ্ক করবে,"তালে আমি যদি এতটুকু গণনা করতে চাই, that is, S1 এর জন্য যদি formula লিখি, তালে u আদি বেগ, v শেষ বেগ। আবার আমি যদি এতটুকু গণনা করতে চাই, S2 এর জন্য, কেউ অংশটা সে সম বেগে চলে, সে অংশের জন্য এটা আদি বেগ, এটা শেষ বেগ এবং এই ক্ষেত্রে আদি বেগের মান যা, শেষ বেগের মানও তাই, যেহেতু তরণ ছিল শূন্য। কাজেই পরব"
elevenlabs_scribe_streaming,/class_lecture/class_onnorokom_105_d_51.wav,class_lecture,0.7659574468085106,1.1111111111111112,3.215,3.975,1.469,4.273,2.804,1.5238,2,1,তো দেখ এই মাত্র যেহেতু অঙ্কটা আমরা দেখলাম কাজেই,"তো দেখো এই মাত্র যে যে অংকটা আমরা দেখলাম, কাজেই সেটা আমার কাছে একটু বেশি হয়"
elevenlabs_scribe_streaming,/documentary/documentary_22_d_66.wav,documentary,0.7368421052631579,1.0,,2.357,1.258,2.646,1.388,1.9062,0,1,বাবার আস্তানার দিকে,বাবা Rastanadique.
elevenlabs_scribe_streaming,/documentary/documentary_21_d_120.wav,documentary,0.2857142857142857,1.0,,1.749,1.292,2.031,0.739,2.7488,0,1,না হতেন,"না, হতে না।"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_223.wav,documentary,0.4318181818181818,0.7142857142857143,2.872,3.667,1.229,3.948,2.719,1.4519,2,1,ইনজেকশন দেওয়ার পর হিটলারের মাতার মৃত্যু ঘটে,Injection দেয়ার পর Hitler এর মাথার মৃত্যু ঘটে।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_125.wav,documentary,0.68,0.6666666666666666,,2.399,1.188,2.677,1.489,1.7976,0,1,ইতিহাসের স্টুডেন্ট হিসেবে,ETIHS student হিসেবে।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_23.wav,documentary,0.0,0.0,,1.731,1.158,2.012,0.854,2.3558,0,1,কি কি করেছিলেন,কি কি করেছিলেন?
elevenlabs_scribe_streaming,/documentary/documentary_22_d_185.wav,documentary,0.4,0.5,2.956,4.521,1.58,6.644,5.064,1.3119,3,2,ফিরছি একটা বিরতির পর,"পেটি, একটা পেটির পর।"
elevenlabs_scribe_streaming,/documentary/documentary_22_d_31.wav,documentary,0.028985507246376812,0.09090909090909091,3.064,6.178,1.384,6.478,5.094,1.2717,5,1,চিকিৎসকের কাছে আমরা জানতে চেয়েছিলাম তিনি এই ওষুধ লিখে দিয়েছিলেন কেন,"চিকিৎসকের কাছে আমরা জানতে চেয়েছিলাম, তিনি এই ঔষধ লিখে দিয়েছিলেন কেন?"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_208.wav,documentary,0.4,1.0,,2.624,1.405,2.908,1.503,1.9351,0,1,নাজি পার্টির চিহ্ন হিসেবে,আমরা আর কি পাটির চিহ্ন হিসেবে?
elevenlabs_scribe_streaming,/documentary/documentary_21_d_348.wav,documentary,0.3888888888888889,1.0,,2.276,1.293,2.565,1.272,2.0166,0,1,সেই মতামতটিও জানিও,"শুনি, মতামত কি জানিও।"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_323.wav,documentary,0.21875,0.3333333333333333,,2.733,1.141,3.038,1.897,1.6015,0,1,হিটলার নিজো হাতে নিজেকে গুলি করে,Hitler নিজো হাতে নিজকে গুলি করে?
elevenlabs_scribe_streaming,/documentary/documentary_22_d_225.wav,documentary,0.2,0.2916666666666667,3.151,6.486,1.785,13.423,11.638,1.1534,12,2,সরাসরি ক্যামেরা নিয়ে হাজির হলো টিম থ্রি সিক্সটি ডিগ্রি ক্যামেরার সামনে এলেন ফকির বাবা দরবারের প্রধান মহিউদ্দিন চৌধুরী ওনাকে নিয়ে অনেক রকম ব্যবসা হয়,সরাসরি camera নিয়ে হাজির হলো team 360 degree. ক্যামেরার সামনে এলেন ফকিরবাবা দরবারের প্রধান মহিউদ্দিন চৌধুরী। ওনাকে নিয়ে অনেক রকম ব্যবসা হয়।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_135.wav,documentary,0.16666666666666666,0.2,,2.581,1.266,2.922,1.656,1.7645,0,1,একটা ৫ তালা বাড়ির মালিক,একটা পাঁচ তালা বাড়ির মালিক।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_361.wav,documentary,0.03333333333333333,0.16666666666666666,,2.935,1.317,3.228,1.911,1.689,0,1,আর কি বলব মোটামুটি সবকিছুই শেষ,আর কি বলো? মোটামুটি সবকিছুই শেষ।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_198.wav,documentary,0.17647058823529413,0.5,,2.714,1.293,3.02,1.727,1.7486,0,1,একজন বাকি তার নাম,একজন বাকি। তান্ডাম।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_286.wav,documentary,0.25,1.0,,1.895,1.272,2.197,0.925,2.3754,0,1,নানান জায়গা,নানান চাই গা।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_221.wav,documentary,0.23076923076923078,0.5,,1.845,1.129,2.125,0.996,2.1334,0,1,হয়েছিলেন তখন,"তো হয়েছিলেন, তখন?"
elevenlabs_scribe_streaming,/documentary/documentary_25_d_6.wav,documentary,0.21505376344086022,0.25,3.302,6.317,1.409,6.631,5.222,1.2698,5,1,আজ কয়েকটি প্রয়োজনীয় সাইকোলজিকাল ফ্যাক্ট জানাবো যা আপনার নিত্যদিনের জীবনযাত্রায় সহায়ক হবে,আজ কয়েকটি প্রয়োজনীয় psychological fact জানাব যা আপনার নিত্যদিনের জীবনযাত্রায় সহায়ক হবে।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_200.wav,documentary,0.06,0.1,3.074,4.756,1.399,5.05,3.651,1.3832,3,1,তিনি অবশ্য কাপড় চোপড় পরতে খুব একটা পছন্দ করেন না,বিড়ি অবশ্য কাপড় চোপড় পরতে খুব একটা পছন্দ করেন না।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_156.wav,documentary,0.9285714285714286,1.0,,2.077,1.188,2.365,1.177,2.0095,0,1,আর্মি হসপিটালে,Army Hospital.
elevenlabs_scribe_streaming,/documentary/documentary_21_d_128.wav,documentary,0.0,0.0,,2.65,1.308,2.954,1.646,1.7945,0,1,মারা যান ১৯০৩ সালে,মারা যান 1903 সালে।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_310.wav,documentary,0.12903225806451613,0.3333333333333333,3.245,3.528,1.345,3.825,2.48,1.5422,2,1,পরবর্তী সময়ে রুশ যখন হামলা করে,আর পরবর্তী সময় রুশ যখন হামলা করে।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_359.wav,documentary,0.95,0.8571428571428571,3.221,6.307,1.718,6.603,4.885,1.3517,5,1,আমরা যখনই ভিডিও আপলোড করব সবার প্রথম সবার আগে তোমাদের কাছে নোটিফিকেশন পৌঁছে যাবে,"আমরা যখনই video upload করব, সবার প্রথম সবার আগে তোমাদের কাছে notification পৌঁছে যাবে। তোমাদের কাছে পৌঁছে যাবে আমাদের প্রতিটা নতুন নতুন ভিডিও।"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_347.wav,documentary,0.0,0.0,,1.965,1.343,2.262,0.919,2.4609,0,1,যে হিটলার কেমন,যে হিটলার কেমন?
elevenlabs_scribe_streaming,/documentary/documentary_21_d_170.wav,documentary,0.35714285714285715,0.6666666666666666,,2.092,1.25,2.381,1.131,2.1054,0,1,খুবই শোকাহত হন,খুবই সোজা অতো হন।
elevenlabs_scribe_streaming,/documentary/documentary_25_d_36.wav,documentary,0.875,0.8181818181818182,3.212,4.215,1.38,4.504,3.124,1.4418,3,1,আপনি যদি জিজ্ঞেস করেন সে আপনার কাজটি করে দিতে পারবে কিনা,"আপনি যদি জিজ্ঞেস করেন, সে আপনার কাজটি করে দিতে পারবে। আপনি যদি জিজ্ঞেস করেন, আপনার কাজটি করে দিতে পারবে কিনা?"
elevenlabs_scribe_streaming,/documentary/documentary_25_d_50.wav,documentary,0.95,1.2777777777777777,2.902,8.586,1.857,8.868,7.011,1.2649,7,1,ফ্যাক্ট নম্বর ১৩ জীবনে যখনই কোন অবস্থায় নার্ভাস হয়ে পড়বেন তখন আপনার এমন কোন বন্ধু কথা ভাবতে থাকুন,"Fact number 3. জীবনে যখনই কোনো অবস্থায় nervous হয়ে পড়বেন, তখন আপনার এমন কোনো বন্ধুর কথা ভাবতে পারেন যে আপনার সাথে কথা বললে আপনার মন শান্ত হয়ে যাবে। এই বন্ধুর নাম হলেন আপ"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_64.wav,documentary,0.08823529411764706,0.6,2.914,3.213,1.263,3.498,2.235,1.5652,2,1,একি জায়গায় জন্মগ্রহণ করেছেন একজন,"একই জায়গায় জন্মগ্রহণ করেছেন, একই জন।"
elevenlabs_scribe_streaming,/documentary/documentary_22_d_189.wav,documentary,0.11363636363636363,0.08695652173913043,2.911,11.762,1.697,12.055,10.358,1.1638,10,1,কিন্তু বাবার কাছে চিকিৎসা নিতে হলে ধারাবাহিকভাবে পুরো এক মাস তার কাছে যেতে হবে আর তাই রোগীর ছদ্মবেশ ছেড়ে এবার ক্যামেরা নিয়ে সরাসরি,"কিন্তু, বাবার কাছে চিকিৎসা নিতে হলে ধারাবাহিকভাবে পুরো এক মাস তার কাছে যেতে হবে। আর তাই রোগীর ছদ্মবেশ ছেড়ে এবার camera নিয়ে সরাসরি হাসপা�"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_290.wav,documentary,0.2631578947368421,1.0,,2.12,1.362,2.403,1.041,2.3088,0,1,ইংল্যান্ড বাধ্য হয়,ইংল্যান্ড বাদ দো হায়।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_196.wav,documentary,0.7272727272727273,1.0,,1.971,1.222,2.257,1.035,2.1811,0,1,প্রিয় সত্য,পিওস শুধু।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_339.wav,documentary,0.0,0.0,,2.095,1.201,2.372,1.171,2.0259,0,1,আগুন লাগিয়ে দেওয়া হোক,আগুন লাগিয়ে দেওয়া হোক।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_209.wav,documentary,0.1875,0.3333333333333333,,1.96,1.172,2.251,1.079,2.086,0,1,হিটলার মনে করতেন,হিজাব মনে করতেন?
elevenlabs_scribe_streaming,/documentary/documentary_22_d_73.wav,documentary,0.3,0.5,,1.927,1.281,2.226,0.945,2.356,0,1,জহুর হুজুর,জহুর হোজাই।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_162.wav,documentary,0.0,0.0,,2.704,1.262,2.989,1.727,1.7307,0,1,বাবার দর্শন পেতে হলে নাকি,বাবার দর্শন পেতে হলে নাকি?
elevenlabs_scribe_streaming,/documentary/documentary_21_d_133.wav,documentary,0.0,0.0,,2.702,1.396,3.189,1.793,1.7787,0,1,মজদুরের কাজ করতেন এবং,মজদুরের কাজ করতেন এবং?
elevenlabs_scribe_streaming,/documentary/documentary_21_d_327.wav,documentary,0.0,0.0,,2.063,1.218,2.343,1.125,2.0829,0,1,আত্মহত্যা করেছেন,আত্মহত্যা করেছেন।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_107.wav,documentary,0.4375,1.1428571428571428,3.279,3.999,1.456,4.323,2.867,1.5078,2,1,কোথায় প্রথম সূচনা হয়েছিল জানো তোমরা জার্মানিতে,গোটায় বহুতম সূচনা হয়েছিল জানো তোমরা? জার্মানি তো। আর কি বলব? আর
elevenlabs_scribe_streaming,/documentary/documentary_21_d_110.wav,documentary,0.8235294117647058,1.0,3.21,3.311,1.609,3.611,2.002,1.8035,2,1,আরেকটি বিষয় হিটলার করে গিয়েছিলেন,"আরেকটি বিষয়, হিটলার করে গিয়েছিলেন কি? হিটলার করে গিয়েছিলেন কি?"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_312.wav,documentary,0.37037037037037035,0.5,,2.781,1.218,3.07,1.852,1.6577,0,1,পাল হারবার আক্রমণ জার্মানির,"Pal Harbour আক্রমণ, জার্মানির।"
elevenlabs_scribe_streaming,/documentary/documentary_25_d_25.wav,documentary,1.1690140845070423,1.2307692307692308,3.148,5.636,1.781,5.94,4.159,1.4283,4,1,রাতে ঘুমানোর সময় আপনি যদি অনেক কিছু নিয়ে চিন্তার জন্য ঘুমাতে না পারেন,"রাতে ঘুমানোর সময় আপনি যদি অনেক কিছু নিয়ে চিন্তার জন্য ঘুমাতে না পারেন, তাহলে আপনার কাছে একটা প্রশ্ন আসবে যে, আমি কি একটা সমস্যার সমাধান করতে পারব? এটা আমার"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_237.wav,documentary,0.0,0.0,,2.609,1.244,2.91,1.666,1.7467,0,1,সেই সকল হত্যার পেছনে ছিল,সেই সকল হত্যার পেছনে ছিল।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_345.wav,documentary,0.07692307692307693,0.3333333333333333,,1.822,1.216,2.111,0.895,2.3588,0,1,খুবই ভাল লাগে,খুবই ভালো লাগে।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_87.wav,documentary,0.0,0.0,,2.335,1.257,2.616,1.359,1.9251,0,1,প্রতারণার ফাঁদে পড়ে,প্রতারণার ফাঁদে পড়ে
elevenlabs_scribe_streaming,/documentary/documentary_21_d_154.wav,documentary,0.4,0.6,,2.759,1.222,3.045,1.823,1.6706,0,1,এবং এই চোখের অসুস্থতার পর,এবং HOC এর অসুস্থতার কারণ।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_61.wav,documentary,0.0,0.0,,2.299,1.252,2.588,1.336,1.9368,0,1,আমরা এই জায়গায় এলাম,আমরা এই জায়গায় এলাম।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_230.wav,documentary,1.0,1.0,,1.862,1.208,2.166,0.958,2.2607,0,1,হিটলারের মাতার,Hitler mother?
elevenlabs_scribe_streaming,/documentary/documentary_21_d_76.wav,documentary,0.07692307692307693,0.16666666666666666,,2.543,1.22,2.832,1.612,1.7567,0,1,সাহস করে বলে উঠতে পারেন নি,শাওস করে বলে উঠতে পারেন নি।
elevenlabs_scribe_streaming,/documentary/documentary_25_d_12.wav,documentary,0.8297872340425532,1.375,3.274,4.186,1.456,4.49,3.035,1.4797,3,1,তাই আপনার সেই লক্ষ্যে সফলতার সম্ভাবনাও কমে যায়,তাই আপনার সেই লক্ষ্যে সফলতার সম্ভাবনাও কম হবে না। আপনি কি এই বিষয়ে আরো কিছু জানতে চান?
elevenlabs_scribe_streaming,/documentary/documentary_25_d_27.wav,documentary,0.07936507936507936,0.23076923076923078,3.101,5.623,1.412,5.912,4.499,1.3139,4,1,কোনদিন যদি রাতে আপনার ঘুম না হয় এবং সকালে উঠে বিষয়টি ফিল করেন,কোন দিন যদি রাতে আপনার ঘুম না হয় এবং সকালে উঠে বিষয়টি feel করেন।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_206.wav,documentary,0.16666666666666666,0.5,,1.937,1.209,2.246,1.037,2.1658,0,1,হিন্দুদের স্বস্তিক,হিন্দুদের স্বত্ত্বিক--
elevenlabs_scribe_streaming,/documentary/documentary_21_d_234.wav,documentary,1.32,1.2,,2.849,1.392,3.145,1.753,1.7938,0,1,অনেক ঐতিহাসিক মনে করেন যে,"অনেক ঐতিহাসিক মনে করেন যে, এই পৃথিবীতে কোনো অন্য পৃথিবী নেই।"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_306.wav,documentary,0.0,0.0,,2.069,1.375,2.356,0.981,2.4012,0,1,তারপর শুরু হয়,তারপর শুরু হয়।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_171.wav,documentary,0.23076923076923078,0.2,,2.683,1.197,2.959,1.762,1.6794,0,1,একজন খুব ভালো রাইটার ছিলেন,একজন খুব ভালো writer ছিলেন।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_51.wav,documentary,0.3,0.25,,2.168,1.26,2.463,1.203,2.0473,0,1,শাস্তি থেকে শুরু করে,স্বাস্থ্য থেকে শুরু করে।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_69.wav,documentary,0.17647058823529413,0.25,,2.254,1.319,2.576,1.257,2.0492,0,1,এখন তার মাসিক আয়,এখন তার মাসিক আয় কত?
elevenlabs_scribe_streaming,/documentary/documentary_21_d_330.wav,documentary,0.16666666666666666,0.5,,1.922,1.238,2.211,0.973,2.2723,0,1,পালিয়ে গিয়েছিলেন,পালিয়ে গেছিলেন।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_158.wav,documentary,0.7857142857142857,0.8,,3.135,1.555,3.415,1.86,1.8362,0,1,বিশ্বযুদ্ধ শেষ হয়ে গেছে এবং,বিশ্বযুদ্ধ শেষ হয়ে গেছে এবং আমি এখন বাংলাদেশে আছি।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_70.wav,documentary,0.0,0.0,,1.775,1.329,2.068,0.739,2.798,0,1,পরবর্তী,পরবর্তী।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_224.wav,documentary,0.0,0.0,,2.109,1.302,2.405,1.103,2.1806,0,1,আর তারপর থেকে,আর তারপর থেকে?
elevenlabs_scribe_streaming,/documentary/documentary_25_d_58.wav,documentary,1.1710526315789473,1.0625,3.157,6.319,1.749,6.618,4.869,1.3593,5,1,তার মস্তিষ্ক তখন গিলটি ফিল করা শুরু করে ফলে সে চোখে চোখ রেখে কথা বলতে পারেনা,তার মস্তিষ্ক তখন guilty feel করা শুরু করে। ফলে সে চোখে চোখ রেখে কথা বলতে পারে না। এই সমস্যাটা সমাধান করতে হলে আমাদের কাছে আসুন। আমরা সমস্যাটাকে সমাধান করতে পারি।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_49.wav,documentary,1.125,1.0,,1.78,1.284,2.079,0.795,2.6145,0,1,এবং তাঁর,"Hello, sir."
elevenlabs_scribe_streaming,/documentary/documentary_21_d_146.wav,documentary,0.19230769230769232,0.5,,2.574,1.165,2.862,1.697,1.6865,0,1,হিটলার যোগদান করেন আর্মিতে,হিটলার যোগদান করেন army-তে।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_94.wav,documentary,0.0,0.0,,2.361,1.234,2.658,1.424,1.8666,0,1,এই কথাটি বলে গেছিলেন,এই কথাটি বলে গেছিলেন।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_179.wav,documentary,0.08333333333333333,0.4444444444444444,3.104,4.337,1.249,4.64,3.391,1.3684,3,1,সিদ্ধান্ত কি কি ছিল হিটলারের সিদ্ধান্ত কি কি ছিল,সিদ্ধান্ত কী কী ছিল? হিটলারের সিদ্ধান্ত কী কী ছিল?
elevenlabs_scribe_streaming,/documentary/documentary_21_d_150.wav,documentary,0.4,0.6666666666666666,,2.551,1.285,2.852,1.567,1.8198,0,1,প্রথম বিশ্বযুদ্ধ চলাকালীন,প্রথম বিশ্বজ্যোতি চৌলাখালি।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_89.wav,documentary,0.7692307692307693,2.0,,2.919,1.314,3.233,1.919,1.6849,0,1,দিশেহারা তিনি,"ঠিক আছে, হারাতে নিই।"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_68.wav,documentary,0.7727272727272727,1.5,,2.569,1.22,2.85,1.63,1.7483,0,1,লক্ষ লক্ষ ইহুদি জাতিকে,"Look, look, use দিয়ে যাতি কে।"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_185.wav,documentary,0.06666666666666667,0.2222222222222222,3.199,4.775,1.283,5.06,3.777,1.3396,3,1,গোটা জার্মানিকে একত্রিত করতে সাহায্য করেছিল হিটলারের এই বইটি,কটা চারমানিকে একত্রিত করতে সাহায্য করেছিল হিটলারের এই বইটি।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_85.wav,documentary,0.36363636363636365,1.0,2.923,3.502,1.402,3.858,2.456,1.571,2,1,ওরফে ল্যাংটা ফকির বয়স,হরফে লেন্থ টা ফোকিং বয়স।
elevenlabs_scribe_streaming,/documentary/documentary_25_d_18.wav,documentary,0.5822784810126582,0.6153846153846154,3.07,7.134,1.637,7.447,5.81,1.2817,5,1,আপনার সতেজ লাগে এর কারণ সূর্যের আলো হাড়ের পাশাপাশি মনের সুস্থতার জন্যেও উপকারী,আপনার সতেজ লাগে। এর কারণ সূর্যের আলো হাড়ের পাশাপাশি মনের সুস্থতার জন্যও উপকারী। সূর্যের আলো মানুষের মনের সুস্থতার জন্য উপকারী।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_213.wav,documentary,0.0,0.0,,2.02,1.302,2.315,1.013,2.2849,0,1,তাই কী করতে হবে,তাই কী করতে হবে?
elevenlabs_scribe_streaming,/documentary/documentary_21_d_28.wav,documentary,0.3181818181818182,0.75,,2.405,1.241,2.696,1.455,1.8526,0,1,যে ছবি আঁকতে ভালোবাসতো,যে ছবি আপনার ভালো বাস্তব।
elevenlabs_scribe_streaming,/documentary/documentary_25_d_21.wav,documentary,0.09090909090909091,0.1875,3.006,7.551,1.5,7.846,6.345,1.2364,6,1,এর কারণ হচ্ছে অতিরিক্ত সময় ধরে ঘুমানো আমাদের দেহে ও ব্রেনের না ধুমানোর সমান প্রভাব ফেলে,এর কারণ হচ্ছে অতিরিক্ত সময় ধরে ঘুমানো আমাদের দেহে ও brain এ না ঘুমানোর সমান প্রভাব ফেলে।
elevenlabs_scribe_streaming,/documentary/documentary_25_d_57.wav,documentary,0.03773584905660377,0.1,3.002,4.614,1.359,4.917,3.558,1.382,3,1,এটা স্বাভাবিক কারণ তার মন তাকে মিথ্যা বলার সঙ্গ দিলেও,এটা স্বাভাবিক। কারণ তার মন তাকে মিথ্যা বলায় সঙ্গ দিলেও।
elevenlabs_scribe_streaming,/documentary/documentary_21_d_117.wav,documentary,0.1,0.5,,2.433,1.382,2.733,1.351,2.023,0,1,তিনি সেখান থেকে দুবা,তিনি শেখান থেকে দুবাই।
elevenlabs_scribe_streaming,/documentary/documentary_22_d_46.wav,documentary,1.3333333333333333,2.0,,3.071,1.468,3.379,1.911,1.7682,0,1,এই ডাক্তার জান্নাতুল ফেরদৌস,"এই, ডাক্তার জামাল তুর্কের দোষ কি? আমার একটা সমস্যা হয়েছে।"
elevenlabs_scribe_streaming,/documentary/documentary_21_d_311.wav,documentary,0.37735849056603776,0.625,3.003,5.171,1.514,5.46,3.946,1.3836,4,1,ভারী হয়ে যায় হিটলারের পক্ষে তারপর ১৯৪১ খ্রিস্টাব্দে,ভারী হয়ে যায় হিটলার এপকে। তারপর 1941 খ্রিস্টাব্দে তার মৃত্যু হয়।
elevenlabs_scribe_streaming,/drama_series/drama_11_d_61.wav,drama_series,0.0379746835443038,0.1875,3.009,6.471,1.359,6.751,5.392,1.2521,5,1,আমার টাকার তেমন কোন প্রয়োজন নাই আমি একা মানুষ লাখ টাকা দিয়ে করবোটা কি একটা শখ,আমার টাকার তেমন কোনো প্রয়োজন নাই। আমি একা মানুষ লাখ টাকা দিয়ে করবো টাকি। একটা শখ।
elevenlabs_scribe_streaming,/drama_series/drama_10_d_222.wav,drama_series,0.5774647887323944,0.7555555555555555,3.12,18.315,2.083,18.6,16.517,1.1261,17,1,আমি চতুর আমি চালাক কিন্তু এমন একটা ভাব ধরি যে সবাই ভাবে আমি হাবা বুঝলি ইটস এ সিক্রেট কাওকে বলবি না সে জন্নে আমি ভান দরে থাকি হাবাগোবা না বাট তুই কিন্তু একদম টেনশন নিস না ঠিকাসে আমি তোর জন্য একটা মেয়ে খুজে বের করব,"আমি জোর তুলে আমি চালায়। আমার একটা ভান জড়িয়ে যে সবাই ভাবে আমি হাওয়া। বুঝলি? It's a secret, কাকে বলবি না। এজন্য আমি ভান দেয়ার থেকে আমি হাওয়া পাওয়া যায়। But ত"
elevenlabs_scribe_streaming,/drama_series/drama_10_d_175.wav,drama_series,0.21428571428571427,0.5833333333333334,3.168,3.686,1.274,3.971,2.697,1.4725,2,1,ঠিকাছে তাই বলে কি আমি  জীবন দিয়ে দিয়েছি কখনো না কখনো না,"ঠিক আছে, তাই বলি কাম জীবন দিয়ে দিই, ঠিক কখনো না, কখনো না।"
elevenlabs_scribe_streaming,/drama_series/drama_10_d_72.wav,drama_series,0.42857142857142855,1.0,,2.29,1.268,2.576,1.308,1.9696,0,1,মিথ্যা বলে লাভ নেই মা,মিত্তাল লাভনিমা।
